log10_E_eV,log10_E_min,log10_E_max,E_eV,E_weighted_eV,E_EeV,E_weighted_EeV,delta_log_E,delta_E_eV,delta_E_EeV,counts,exposure_km2_sr_yr,cumulative_exposure,flux,flux_error,flux_error_lower,flux_error_upper,integral_flux,flux_E3,flux_E3_error,valid_bin,high_statistics
17.55,17.5,17.6,3.5481338923357606e+17,3.5481338923357606e+17,0.3548133892335761,0.3548133892335761,0.10000000000000142,8.169880208439381e+16,0.08169880208439381,0,0.0,66052888.971599996,0.0,0.0,0.0,0.0,21591.0,0.0,0.0,False,False
17.65,17.6,17.7,4.4668359215096166e+17,4.4668359215096166e+17,0.44668359215096165,0.44668359215096165,0.09999999999999787,1.0285269805718146e+17,0.10285269805718146,0,0.0,66052888.971599996,0.0,0.0,0.0,0.0,21591.0,0.0,0.0,False,False
17.75,17.7,17.8,5.6234132519034906e+17,6.252724350159182e+17,0.5623413251903491,0.6252724350159182,0.10000000000000142,1.2948387525578331e+17,0.1294838752557833,752,2330028.4893,66052888.971599996,2.4925330219509417e-21,9.089332701377388e-23,9.089332701377388e-23,9.089332701377388e-23,21591.0,4.4324201517774536e+32,1.6163373193852868e+31,True,True
17.85,17.8,17.9,7.079457843841403e+17,7.010358594820928e+17,0.7079457843841402,0.7010358594820928,0.09999999999999787,1.6301054097708637e+17,0.16301054097708637,7880,23942582.1497,63722860.482300006,2.0190149864909207e-21,2.2744502084803954e-23,2.2744502084803954e-23,2.2744502084803954e-23,20839.0,7.163735502702324e+32,8.070053871139495e+30,True,True
17.95,17.9,18.0,8.912509381337441e+17,8.843371698792506e+17,0.8912509381337441,0.8843371698792506,0.10000000000000142,2.0521811242637472e+17,0.20521811242637472,4510,13908798.475800002,39780278.332600005,1.5800514853191521e-21,2.3527889268906943e-23,2.3527889268906943e-23,2.3527889268906943e-23,12959.0,1.1185907881415841e+33,1.665647002337939e+31,True,True
18.05,18.0,18.1,1.1220184543019653e+18,1.1148581722575232e+18,1.1220184543019653,1.1148581722575233,0.10000000000000142,2.5835429669399632e+17,0.25835429669399634,2790,8512059.4208,25871479.856799997,1.2686851834000616e-21,2.4018825461532423e-23,2.4018825461532423e-23,2.4018825461532423e-23,8449.0,1.7920654538592007e+33,3.392749274215567e+31,True,True
18.15,18.1,18.2,1.4125375446227497e+18,1.4041749184175416e+18,1.4125375446227497,1.4041749184175416,0.09999999999999787,3.252487893542686e+17,0.3252487893542686,1831,5625940.4421,17359420.436,1.000639229887272e-21,2.3384783482418708e-23,2.3384783482418708e-23,2.3384783482418708e-23,5659.0,2.8201845258678676e+33,6.590727461816318e+31,True,True
18.25,18.2,18.3,1.7782794100389228e+18,1.7698862720948047e+18,1.7782794100389228,1.7698862720948048,0.10000000000000142,4.0946396607339283e+17,0.4094639660733928,1191,3642864.2289,11733479.9939,7.984598587390568e-22,2.313647579449852e-23,2.313647579449852e-23,2.313647579449852e-23,3828.0,4.490069750746201e+33,1.3010596458512733e+32,True,True
18.35,18.3,18.4,2.238721138568347e+18,2.217540898209411e+18,2.238721138568347,2.217540898209411,0.09999999999999787,5.154845921038024e+17,0.5154845921038024,835,2548000.1518,8090615.765,6.35727996094728e-22,2.200027449525594e-23,2.200027449525594e-23,2.200027449525594e-23,2637.0,7.132985435346982e+33,2.468471398338622e+32,True,True
18.45,18.4,18.5,2.818382931264449e+18,2.7952781738814444e+18,2.818382931264449,2.7952781738814445,0.10000000000000142,6.489566523878474e+17,0.6489566523878474,648,2050706.5666,5542615.6132,4.86917961420721e-22,1.9127944022340087e-23,1.9127944022340087e-23,1.9127944022340087e-23,1802.0,1.090073532981166e+34,4.282213262016445e+32,True,True
18.55,18.5,18.6,3.5481338923357604e+18,3.507655525019996e+18,3.5481338923357604,3.507655525019996,0.10000000000000142,8.169880208439379e+17,0.816988020843938,447,1385244.7144,3491909.0466000005,3.9497111201356753e-22,1.8681492553823288e-23,1.8681492553823288e-23,1.8681492553823288e-23,1154.0,1.7642711511008164e+34,8.344716200683297e+32,True,True
18.65,18.6,18.7,4.4668359215096166e+18,4.421466399483378e+18,4.466835921509617,4.4214663994833785,0.09999999999999787,1.0285269805718147e+18,1.0285269805718147,269,817514.5957,2106664.3322,3.199197679512607e-22,1.950585251284202e-23,1.950585251284202e-23,1.950585251284202e-23,707.0,2.851287933140885e+34,1.738460935116876e+33,True,True
18.75,18.7,18.8,5.623413251903491e+18,5.525046039652417e+18,5.623413251903491,5.525046039652416,0.10000000000000142,1.2948387525578335e+18,1.2948387525578335,176,541262.3097,1289149.7364999999,2.511245622224472e-22,1.8929226103048077e-23,1.8929226103048077e-23,1.8929226103048077e-23,438.0,4.465696383552162e+34,3.366145302702172e+33,True,True
18.85,18.8,18.9,7.079457843841402e+18,7.019072890593576e+18,7.079457843841402,7.019072890593576,0.09999999999999787,1.6301054097708634e+18,1.6301054097708634,117,324147.1077,747887.4267999999,2.2142569791613314e-22,2.0470813013897893e-23,2.0470813013897893e-23,2.0470813013897893e-23,262.0,7.85648023410338e+34,7.263318545827964e+33,True,True
18.95,18.9,19.0,8.91250938133744e+18,8.769491457853042e+18,8.91250938133744,8.769491457853041,0.10000000000000142,2.0521811242637468e+18,2.052181124263747,62,172234.9651,423740.3191,1.7541013363268045e-22,2.2277109248470805e-23,2.2277109248470805e-23,2.2277109248470805e-23,145.0,1.2418086464351377e+35,1.5770985580719715e+34,True,True
19.05,19.0,19.1,1.1220184543019653e+19,1.1132923728767169e+19,11.220184543019654,11.13292372876717,0.10000000000000142,2.5835429669399634e+18,2.583542966939963,41,132794.82400000002,251505.35400000002,1.1950525979330044e-22,1.8663585987394912e-23,1.8663585987394912e-23,1.8663585987394912e-23,83.0,1.688056662379338e+35,2.6363015924490584e+34,True,True
19.15,19.1,19.2,1.4125375446227497e+19,1.3838018809785119e+19,14.125375446227498,13.838018809785119,0.09999999999999787,3.252487893542686e+18,3.2524878935426864,22,66170.94,118710.53,1.0222089709143581e-22,2.1793568486407252e-23,2.1793568486407252e-23,2.1793568486407252e-23,42.0,2.8809763158104015e+35,6.14226214334325e+34,True,True
19.25,19.2,19.3,1.7782794100389229e+19,1.770083976033307e+19,17.78279410038923,17.70083976033307,0.10000000000000142,4.0946396607339284e+18,4.094639660733929,13,32008.182,52539.59,9.918971805997146e-23,2.751027803569566e-23,2.751027803569566e-23,2.751027803569566e-23,20.0,5.5778477499101455e+35,1.5470166206948052e+35,True,True
19.35,19.3,19.4,2.238721138568347e+19,2.238721138568347e+19,22.387211385683468,22.387211385683468,0.09999999999999787,5.154845921038023e+18,5.154845921038023,0,0.0,20531.408,0.0,0.0,0.0,0.0,7.0,0.0,0.0,False,False
19.45,19.4,19.5,2.8183829312644493e+19,2.8989346424177754e+19,28.183829312644495,28.989346424177754,0.10000000000000142,6.489566523878476e+18,6.489566523878476,5,15503.33,20531.408,4.9696902874908336e-23,2.2225130619899952e-23,2.77034627438707e-23,6.687229188098291e-24,7.0,1.1125750698743446e+36,4.975586972621225e+35,True,False
19.55,19.5,19.6,3.5481338923357606e+19,3.6346687598648615e+19,35.481338923357605,36.346687598648614,0.10000000000000142,8.169880208439379e+18,8.169880208439379,1,4549.06,5028.078,2.690683690561225e-23,2.690683690561225e-23,1.0157210214512677e-24,1.8426938717595214e-23,2.0,1.2018842562419045e+36,1.2018842562419045e+36,True,False
19.65,19.6,19.7,4.466835921509617e+19,4.162905671566898e+19,44.66835921509617,41.62905671566898,0.09999999999999787,1.0285269805718147e+19,10.285269805718148,1,479.018,479.018,2.0297029276570377e-22,2.0297029276570377e-22,7.66203748941007e-24,1.3900263191121753e-22,1.0,1.8089746384071272e+37,1.8089746384071272e+37,True,False
19.75,19.7,19.8,5.6234132519034905e+19,5.6234132519034905e+19,56.2341325190349,56.2341325190349,0.10000000000000142,1.2948387525578332e+19,12.948387525578331,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.85,19.8,19.9,7.0794578438414025e+19,7.0794578438414025e+19,70.79457843841402,70.79457843841402,0.09999999999999787,1.6301054097708636e+19,16.301054097708636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.95,19.9,20.0,8.91250938133744e+19,8.91250938133744e+19,89.1250938133744,89.1250938133744,0.10000000000000142,2.0521811242637468e+19,20.52181124263747,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
